training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
71.94861,0.19184501,0.0020991105,0.029516364,-71.12703,71.12703,0.21305707,-39.17632,-71.13896,-73.86612,2.4425797,-0.41925097,36.919266,71.71786,0.20027724,0.0023728837,0.036989987,-70.80572,70.80572,0.33462524,-49.357487,-70.80655,-73.83253,0.07376276531219482,368.81383419036865,5000
122.24845,0.16252011,0.0021088333,0.034515854,-121.45328,121.45328,1.39608,-54.88149,-121.452835,-125.21266,4.516192,-1.5534217,100.45564,122.28552,0.20628284,0.0017764758,0.038147092,-121.546295,121.546295,1.2356925,-87.995415,-121.550514,-125.18134,0.0017844176292419434,377.73592615127563,10000
162.32664,0.173078,0.0025321536,0.036093093,-161.39392,161.39392,1.0576193,-113.011215,-161.40451,-166.72722,4.3260603,-3.6595104,111.24838,161.4345,0.20593809,0.0021819212,0.035085548,-160.57397,160.57397,4.0243597,-83.01347,-160.5828,-166.49315,0.0017807043075561523,386.63945031166077,15000
192.78471,0.19915873,0.0014950364,0.03359873,-192.13704,192.13704,2.9148173,-131.65425,-192.12103,-199.12698,6.5896153,-9.505067,272.7955,194.00945,0.20934609,0.0020378751,0.035257902,-193.18874,193.18874,8.306232,-112.31506,-193.2099,-199.06721,0.001781397294998169,395.5464403629303,20000
217.81622,0.22649553,0.0011621632,0.034820657,-217.24107,217.24107,1.76503,-91.72141,-217.24294,-224.64407,5.290861,-3.2876275,179.12149,219.58562,0.18844953,0.0011866001,0.029729424,-219.04118,219.04118,9.977686,-144.40657,-219.0563,-225.10582,0.001784245491027832,404.46767115592957,25000
235.45044,0.17983066,0.0016527601,0.041538723,-234.77478,234.77478,15.743549,-121.264275,-234.77841,-245.14142,23.997732,-21.761019,818.4565,238.87105,0.21005976,0.0020068984,0.036689963,-238.05891,238.05891,29.248701,-133.70532,-238.0555,-245.0394,0.0017826545715332032,413.38094663619995,30000
248.4277,0.1839257,0.0011042776,0.021374369,-247.91249,247.91249,3.367769,-78.69654,-247.86305,-261.86362,4.7356563,-6.3301067,233.021,253.11465,0.17623737,0.0017837383,0.03157541,-252.40329,252.40329,16.47162,-168.36214,-252.51196,-261.2152,0.0017865985870361327,422.31394386291504,35000
264.6303,0.20140854,0.0017594207,0.04308072,-263.90106,263.90106,0.9498477,-125.01654,-263.85736,-275.06512,5.174705,-3.8800106,164.71333,261.7704,0.21426706,0.0027751147,0.032854557,-260.72357,260.72357,21.704233,-124.701744,-260.79175,-272.97995,0.0017891481399536133,431.25968766212463,40000
271.29248,0.15132429,0.0012503791,0.028651668,-270.76605,270.76605,4.780319,-166.33524,-270.82074,-284.13556,41.32325,-47.31597,985.6263,273.53,0.15859438,0.0012565348,0.026953427,-272.99445,272.99445,46.287785,-183.45766,-273.03824,-283.94473,0.0017895761013031006,440.2075729370117,45000
278.03735,0.1347997,0.0014215555,0.029411023,-277.47607,277.47607,6.307578,-84.76112,-277.42227,-291.6584,5.4220862,-3.9459233,228.14445,278.10553,0.18923913,0.0015182969,0.042329043,-277.46082,277.46082,46.72148,-130.87277,-277.47522,-291.81924,0.00178561429977417,449.1356523036957,50000
281.96072,0.20273665,0.002489266,0.03705677,-281.0112,281.0112,5.9341955,3.2266057,-280.909,-297.42078,21.739061,-8.123814,347.16864,284.00436,0.18664962,0.0017185509,0.026283566,-283.30215,283.30215,48.924164,-181.87796,-283.3604,-297.78467,0.0017871023654937744,458.07116746902466,55000
286.8186,0.16439365,0.0013113908,0.02965717,-286.2608,286.2608,6.683612,-132.1125,-286.31488,-300.68286,38.82734,-49.548176,850.97723,285.10422,0.17044504,0.00170338,0.023097688,-284.42276,284.42276,51.940125,-148.68742,-284.3803,-300.15396,0.0017863709449768067,467.00302600860596,60000
292.2986,0.2108378,0.0033861154,0.03251362,-291.07193,291.07193,1.7861766,-187.86432,-291.179,-302.93137,1.6293344,-3.3882897,107.43125,289.4303,0.18153568,0.002111582,0.030863225,-288.6153,288.6153,52.372032,-194.87329,-288.88156,-304.03055,0.0017913765907287599,475.9599120616913,65000
288.86493,0.17988302,0.003406517,0.03024434,-287.6631,287.6631,3.1865764,-182.09013,-287.73987,-304.42783,4.7914834,-3.6730936,196.70958,291.48965,0.15411507,0.0020044006,0.028923785,-290.73422,290.73422,32.525803,-188.22733,-290.75818,-305.02368,0.0017871229648590088,484.8955297470093,70000
290.20697,0.17622812,0.003021168,0.040999006,-289.1244,289.1244,4.988824,-180.7077,-289.04926,-306.5703,38.06296,-46.552208,618.3629,292.01312,0.159355,0.0014798822,0.028418157,-291.4098,291.4098,31.199411,-171.66205,-291.3107,-304.69797,0.0017871047496795655,493.8310561180115,75000
